epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8830065131187439,0.0010000000474974513,0.418064683675766,0.9848024249076843,0.11587941646575928
1,0.9823529124259949,0.0010000000474974513,0.14331461489200592,0.9908814430236816,0.08825705945491791
2,0.9882352948188782,0.0010000000474974513,0.10761240124702454,0.9908814430236816,0.07931021600961685
3,0.9967319965362549,0.0010000000474974513,0.08797068148851395,0.996960461139679,0.0729932188987732
4,0.9947712421417236,0.0010000000474974513,0.0793866291642189,0.996960461139679,0.06914064288139343
5,0.9947712421417236,0.0010000000474974513,0.07748351991176605,0.996960461139679,0.07136936485767365
6,0.9960784316062927,0.0010000000474974513,0.07190235704183578,0.9878419637680054,0.08184397220611572
7,0.998039186000824,0.0010000000474974513,0.0617118775844574,0.9908814430236816,0.06855637580156326
8,0.9973856210708618,0.0010000000474974513,0.06217983365058899,0.9908814430236816,0.06698039174079895
9,0.9947712421417236,0.0010000000474974513,0.06399630755186081,0.996960461139679,0.07514555007219315
10,0.9986928105354309,0.0010000000474974513,0.05907567963004112,0.9939209818840027,0.06507648527622223
11,0.9986928105354309,0.0010000000474974513,0.05651360750198364,0.9939209818840027,0.06340652704238892
12,0.9986928105354309,0.0010000000474974513,0.05612165480852127,0.9908814430236816,0.06028775870800018
13,0.9993463754653931,0.0010000000474974513,0.05313827469944954,0.996960461139679,0.05764171481132507
14,0.9967319965362549,0.0010000000474974513,0.05779107287526131,0.9908814430236816,0.06216639280319214
15,0.9986928105354309,0.0010000000474974513,0.05078272148966789,0.9908814430236816,0.05717940628528595
16,0.9993463754653931,0.0010000000474974513,0.047737058252096176,0.9939209818840027,0.06465494632720947
17,1.0,0.0010000000474974513,0.045393235981464386,0.9939209818840027,0.05786941573023796
18,0.998039186000824,0.0010000000474974513,0.04995644837617874,0.9939209818840027,0.06054709106683731
19,0.998039186000824,0.0010000000474974513,0.04791789874434471,0.9939209818840027,0.05900495499372482
