epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9385620951652527,9.999999747378752e-05,0.24990114569664001,0.9939209818840027,0.11711769551038742
1,0.9764705896377563,9.999999747378752e-05,0.10564378648996353,0.9939209818840027,0.08619881421327591
2,0.9823529124259949,9.999999747378752e-05,0.09059678763151169,0.9908814430236816,0.10291244089603424
3,0.9895424842834473,9.999999747378752e-05,0.07752223312854767,0.9908814430236816,0.0898301750421524
4,0.9934640526771545,9.999999747378752e-05,0.06865418702363968,0.996960461139679,0.07039915025234222
5,0.9888888597488403,9.999999747378752e-05,0.07177300751209259,0.996960461139679,0.05997488647699356
6,0.9901960492134094,9.999999747378752e-05,0.07811909914016724,0.996960461139679,0.07491070032119751
7,0.9915032386779785,9.999999747378752e-05,0.08086911588907242,0.996960461139679,0.04661284014582634
8,0.9941176176071167,9.999999747378752e-05,0.05774132162332535,0.9939209818840027,0.05468764901161194
9,0.9973856210708618,9.999999747378752e-05,0.060280829668045044,0.9939209818840027,0.051136475056409836
10,0.9960784316062927,9.999999747378752e-05,0.05974821373820305,1.0,0.04510729759931564
11,0.9973856210708618,9.999999747378752e-05,0.05507953464984894,0.996960461139679,0.04733939841389656
12,0.9993463754653931,9.999999747378752e-05,0.04834672436118126,0.996960461139679,0.04758228734135628
13,0.9973856210708618,9.999999747378752e-05,0.05881761014461517,0.996960461139679,0.04851922392845154
14,0.9947712421417236,9.999999747378752e-05,0.05897727236151695,1.0,0.044369954615831375
15,0.9973856210708618,9.999999747378752e-05,0.05444834753870964,0.996960461139679,0.046293605118989944
16,0.9993463754653931,9.999999747378752e-05,0.05036726966500282,0.996960461139679,0.0478694811463356
17,0.9986928105354309,9.999999747378752e-05,0.052999094128608704,0.996960461139679,0.04498301073908806
18,0.9986928105354309,9.999999747378752e-05,0.04950839653611183,1.0,0.0439295768737793
19,0.9993463754653931,9.999999747378752e-05,0.04855996370315552,1.0,0.04275363311171532
20,0.998039186000824,9.999999747378752e-05,0.04748508706688881,1.0,0.04266900196671486
21,1.0,9.999999747378752e-05,0.04733613505959511,1.0,0.042417459189891815
22,0.9986928105354309,9.999999747378752e-05,0.0504869781434536,1.0,0.041975658386945724
23,0.9986928105354309,9.999999747378752e-05,0.04603652283549309,1.0,0.04180692508816719
24,0.9986928105354309,9.999999747378752e-05,0.048160772770643234,1.0,0.04171447828412056
25,0.9986928105354309,9.999999747378752e-05,0.04655826464295387,1.0,0.04147090017795563
26,0.9967319965362549,9.999999747378752e-05,0.05012531206011772,1.0,0.04134029895067215
27,1.0,9.999999747378752e-05,0.044866155833005905,1.0,0.04121939837932587
28,0.9986928105354309,9.999999747378752e-05,0.04958230257034302,1.0,0.04137282073497772
29,0.998039186000824,9.999999747378752e-05,0.050421714782714844,1.0,0.04097837582230568
